"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2017","1,595.00","1,595.00","1,595.00","1,595.00","","-3.57%"
"05/24/2017","1,654.00","1,654.00","1,654.00","1,654.00","","-3.05%"
"05/23/2017","1,706.00","1,706.00","1,706.00","1,706.00","","0.12%"
"05/22/2017","1,704.00","1,704.00","1,704.00","1,704.00","","2.16%"
"05/19/2017","1,668.00","1,668.00","1,668.00","1,668.00","","1.83%"
"05/18/2017","1,638.00","1,638.00","1,638.00","1,638.00","","3.02%"
"05/17/2017","1,590.00","1,590.00","1,590.00","1,590.00","","-2.57%"
"05/16/2017","1,632.00","1,632.00","1,632.00","1,632.00","","-1.75%"
"05/15/2017","1,661.00","1,661.00","1,661.00","1,661.00","","-3.71%"
"05/12/2017","1,725.00","1,725.00","1,725.00","1,725.00","","1.77%"
"05/11/2017","1,695.00","1,695.00","1,695.00","1,695.00","","3.04%"
"05/10/2017","1,645.00","1,645.00","1,645.00","1,645.00","","0.61%"
"05/09/2017","1,635.00","1,635.00","1,635.00","1,635.00","","4.07%"
"05/08/2017","1,571.00","1,571.00","1,571.00","1,571.00","","6.15%"
"05/05/2017","1,480.00","1,480.00","1,480.00","1,480.00","","1.51%"
"05/04/2017","1,458.00","1,458.00","1,458.00","1,458.00","","-5.45%"
"05/03/2017","1,542.00","1,542.00","1,542.00","1,542.00","","-7.55%"
"05/02/2017","1,668.00","1,668.00","1,668.00","1,668.00","","-6.24%"
"04/28/2017","1,779.00","1,779.00","1,779.00","1,779.00","","-1.06%"
"04/27/2017","1,798.00","1,798.00","1,798.00","1,798.00","","0.45%"
"04/26/2017","1,790.00","1,790.00","1,790.00","1,790.00","","1.30%"
"04/25/2017","1,767.00","1,767.00","1,767.00","1,767.00","","-0.73%"
"04/24/2017","1,780.00","1,780.00","1,780.00","1,780.00","","-2.73%"
"04/21/2017","1,830.00","1,830.00","1,830.00","1,830.00","","-8.09%"
"04/20/2017","1,991.00","1,991.00","1,991.00","1,991.00","","-6.53%"
"04/19/2017","2,130.00","2,130.00","2,130.00","2,130.00","","-4.05%"
"04/18/2017","2,220.00","2,220.00","2,220.00","2,220.00","","-1.29%"
"04/13/2017","2,249.00","2,249.00","2,249.00","2,249.00","","-0.13%"
"04/12/2017","2,252.00","2,252.00","2,252.00","2,252.00","","1.12%"
"04/11/2017","2,227.00","2,227.00","2,227.00","2,227.00","","2.86%"
"04/10/2017","2,165.00","2,165.00","2,165.00","2,165.00","","-0.37%"
"04/07/2017","2,173.00","2,173.00","2,173.00","2,173.00","","-0.50%"
"04/06/2017","2,184.00","2,184.00","2,184.00","2,184.00","","-2.02%"
"04/05/2017","2,229.00","2,229.00","2,229.00","2,229.00","","-6.42%"
